full_name,class,section,marks_english,marks_maths,marks_physics
Patrice Cleary,12,3,94,81,44
Clifford Braybrooke,6,1,67,77,98
Alleen Ribey,11,1,72,16,52
Viviene Rusted,10,2,39,59,13
Ivonne Barthel,11,3,28,20,15
Hercules Baynon,10,1,17,91,16
Clemente McInnery,1,1,37,78,67
Benedetta Eim,10,1,88,50,40
Nevile Fleetham,5,1,24,20,75
Carlotta Springham,10,2,32,33,98
Gertie Bank,12,1,10,97,51
Roxana Durram,12,1,56,39,81
Binnie Jowers,12,1,58,47,1
Shamus Harnell,4,1,78,97,18
Burke Rivalland,1,2,66,23,76
Dayle Worsom,1,3,45,19,81
Josselyn Caddock,7,1,30,25,52
Tyler Roussell,3,3,84,86,63
Yvette Gobell,7,3,76,86,94
Dalenna Rollason,11,2,82,98,19
Fabe Facchini,2,2,95,62,84
Bette-ann Emlen,9,2,43,30,22
Anabelle Impett,2,3,90,33,29
Verina Seston,11,1,77,19,36
Holden Dundridge,2,3,54,77,15
Lillian Ropert,11,3,23,76,28
Marcellina Coursor,2,3,21,82,4
Alma Zaczek,4,2,77,62,47
Lynde Ormston,6,3,20,36,13
Cthrine Danett,2,2,82,69,21
Julienne Aviss,8,2,76,13,26
Jewel Wyburn,11,3,79,4,75
Helsa Knowler,8,3,26,96,6
Yule Tunnicliffe,7,1,41,29,69
Gabey Juarez,1,3,53,90,33
Daune Lachaize,11,2,65,19,90
Ruthann Scurrell,7,2,69,22,92
Jacquelin Zelland,6,3,6,83,75
Clemmy Olivazzi,1,2,3,72,63
Diandra Menicomb,7,3,63,82,22
Klarrisa Munks,11,3,94,44,92
Garwood Sherrum,1,3,55,14,97
Eilis Geraudel,7,3,80,45,36
Saudra De Blase,10,3,20,62,79
Nerissa Dallon,9,2,11,10,44
Marie Lealle,10,1,55,27,88
Christian Blamires,8,3,58,68,62
Darryl Ruoss,3,2,8,98,2
Jacobo Crossfield,10,3,56,95,38
Geri Faughey,9,2,82,33,76
Burlie Dingle,12,2,84,66,23
Kacey Ashbe,4,3,9,60,50
Spenser Symcoxe,3,3,3,65,98
Wilburt Dani,5,1,42,53,34
Albert Lysaght,2,3,66,63,37
Lorna Gorman,1,2,51,56,84
Izabel Killby,1,2,32,86,13
Jinny Fison,3,3,5,16,63
Rhianon Hayball,2,1,84,18,6
Elisha Cuttles,5,1,84,15,77
Nancey Rangle,10,2,4,19,45
Becki Martinez,4,1,23,43,56
Tamra Duncanson,11,1,11,75,28
Felipa Talby,3,2,18,4,2
Terri-jo Rawcliffe,11,1,86,50,87
Nanni Grovier,7,1,58,95,61
Shamus Kingswell,12,3,23,69,3
Hamel Kubyszek,4,2,26,51,5
Lauretta Stubbings,1,1,73,71,34
Grove O'Shavlan,9,2,90,38,74
Artur Tregonna,4,2,82,36,7
Harriott Brigman,4,2,13,45,81
Chance Retallick,3,3,37,97,80
Hart Billes,7,1,44,35,9
Sax Chipchase,11,2,58,29,22
Elyn Copnar,1,1,48,61,71
Hadrian McEvay,4,3,12,81,95
Jarrett Hasel,6,2,50,44,7
Jacquelynn Heavy,11,2,80,7,89
Ravi Scaplehorn,9,3,36,66,17
Kev Ferens,1,3,62,99,45
Wendie Gallahue,1,3,45,5,8
Cesare O'Nion,12,1,24,95,95
Jarrett Hessentaler,1,1,3,78,86
Murray Pridding,9,3,98,67,58
Dewain Hinrichs,2,2,84,84,56
Cammi MacDirmid,11,3,7,73,51
Suzie MacConneely,8,3,63,92,70
Gilemette Heathwood,11,2,99,76,94
Camellia Gobert,7,2,56,95,39
Therine Archdeckne,9,2,48,26,31
Dolly Barthrup,9,3,29,67,25
Betsy Deeley,8,3,53,13,55
Cristi Jouanet,5,1,47,69,98
Meade Gallo,4,3,84,16,83
Hagen Campling,7,1,43,2,95
Orelie Kinman,5,1,38,3,69
Melisandra Rain,11,2,91,73,54
Rosabella Oulet,2,3,23,47,64
Beauregard Bickers,2,2,87,57,46
Dorian Petrelli,4,2,68,57,77
Reube Dumphy,9,1,29,79,83
Junia Fee,12,3,38,95,15
Godfree McPeck,6,2,84,37,25
Bank Batte,9,3,29,92,42
Alana Hargess,5,3,23,25,61
Hartwell Chatwin,9,1,18,19,36
Sharleen Derell,3,2,56,33,64
Gabrila Bowdery,5,3,72,13,2
Powell Buzza,11,1,48,78,70
Rubina Sennett,11,3,82,14,64
Emily Hess,2,3,66,28,62
Anabel Tebbitt,4,1,30,39,62
Tamera Hamberstone,11,2,72,41,53
Giusto McClinton,2,2,24,80,49
Giavani Goldes,11,3,60,13,94
Thurstan Burling,12,2,14,91,72
Emilio Barck,1,1,5,34,72
Kermy Geldert,12,1,86,40,85
Alistair Tomaskov,1,3,8,1,82
Osmond Rove,12,2,19,81,56
Briney Ellinor,2,2,89,74,51
Delbert Lowde,7,1,57,87,68
Michaela Nanni,1,1,76,92,55
Kermie Brumpton,1,3,52,15,26
Cori Kilshaw,2,1,23,98,23
Cross Sibun,10,1,95,55,53
Giacopo McKeon,10,2,76,47,56
Ulises Dobbing,7,3,63,6,74
Michell Rushton,8,2,3,9,43
Cristal Sammonds,5,3,58,49,17
Elisa Lodo,2,2,51,82,54
Ginger Brodway,1,1,46,45,47
Perice Holligan,1,3,95,17,73
Tressa Krzyzaniak,8,2,92,43,32
Dru Adderley,2,3,87,20,67
Nicholle Krop,7,3,23,67,9
Torr Whibley,11,2,94,100,94
Krissy Mates,7,1,30,77,36
Dela Ronnay,12,2,80,19,15
Sayer Aberdalgy,2,1,11,91,99
Maryjane Donahue,11,1,3,10,51
Grace Broggetti,11,3,95,85,29
Donavon Vass,4,1,71,98,69
Elwira Calder,8,1,24,26,5
Pru Toghill,1,1,22,91,35
Augustine Giraudat,4,3,75,42,72
Terri Hardan,10,1,39,41,34
Darleen Puvia,5,2,27,1,27
Dave Gauntlett,10,1,97,74,93
Calvin Maybury,12,3,80,23,29
Livvyy Etchells,4,1,63,57,99
Tabbi Gisby,10,2,93,49,48
Dinny Vasyukhichev,6,2,2,16,50
Christabella Jervis,6,2,49,26,6
Grayce Welham,6,2,14,20,75
Norrie Catlette,6,2,26,21,12
Heda Kalderon,4,1,31,45,23
Trina Pettiward,9,2,26,68,7
Herman Noden,4,2,45,46,95
Lisette Mattys,3,3,8,9,68
Electra Kinlock,3,3,38,5,5
Nikolia Tomik,7,1,32,38,15
Babara Habert,6,2,29,4,6
Archie Cleall,9,2,35,43,39
Jacquetta Von Brook,3,1,44,35,26
Ax Stredder,6,3,39,94,66
Aldon Backen,8,3,83,39,36
Patty Boram,8,1,10,77,59
Carrissa Itzakson,5,2,18,14,99
Marcelle O'Hallagan,1,3,12,88,23
Archy Goretti,7,3,28,5,81
Judye Morrallee,7,3,9,27,68
Bank Stoll,6,1,7,74,27
Erny Philbrook,11,1,42,17,90
Chrysa Kibbye,6,3,71,53,18
Devan Jeckells,11,3,40,46,70
Althea Risborough,10,2,27,47,90
Claudetta De Mattei,7,1,16,55,3
Sisile Cuckoo,6,3,52,21,78
Tommie McCrackan,2,1,88,3,43
Ludvig Tregido,12,3,51,65,94
Hali Le Surf,2,3,91,40,55
Bartram Essery,9,2,35,87,74
Nye Goolden,5,2,93,57,27
Korrie Skirven,10,1,83,91,60
Coletta Bowart,10,2,29,50,3
Ezra Ross,11,3,54,56,36
Reta Isack,11,2,34,88,99
Dicky Guerrier,12,2,87,36,99
Myriam Hanham,10,2,27,35,25
Tressa Furbank,1,1,97,86,2
Tamra Jiruch,6,2,53,93,58
Jacquetta Iannuzzi,3,2,64,68,18
Cord Dwane,3,1,38,35,57
Alayne Edensor,8,2,28,51,90
Michail Lancley,2,3,97,14,98
Bryce Ibarra,10,1,91,12,29
Katie Clixby,6,2,85,87,59
Turner Connal,3,3,55,62,79
Justis Seth,3,2,60,4,14
Bentley Samwayes,5,2,56,47,95
Tonye Wellbelove,8,1,14,88,14
Rozele Breslau,7,1,100,81,52
Olimpia Foxcroft,12,2,72,31,10
Sybil Haith,12,2,71,89,13
Leanora Banting,10,2,94,50,86
Algernon Langsbury,7,3,97,72,65
Elane MacArd,9,1,39,11,47
Tessy Gyrgorwicx,7,2,88,63,51
Kaitlynn Dutt,2,1,100,99,12
Nickola Zimmermeister,7,3,10,35,29
Glenine Casado,6,3,40,11,56
Wendy Rawsen,1,2,28,74,3
Loreen McKew,6,3,7,96,50
Lanie Muscroft,12,2,73,42,52
Jared Terzo,5,3,49,69,2
Siegfried Petters,3,2,45,38,18
Tani Pettis,10,2,53,64,61
Gawain Faunt,6,2,100,62,38
Linnie Marrow,1,2,53,95,86
Emelia Shelley,5,2,18,5,99
Benito Burleton,3,2,62,85,88
Andreana Heckney,11,2,5,55,69
Adeline Denzilow,6,1,58,61,24
Debi Pattrick,9,1,87,85,59
Hurley Petraitis,11,2,37,82,56
Lorinda Pow,9,3,91,24,94
Archaimbaud Leyes,3,3,47,19,56
Brianne Baribal,7,1,93,7,98
Sandie Caukill,11,3,72,20,12
Lyn Baalham,1,1,47,41,22
Worth McAlroy,8,3,31,21,14
Donella Danks,8,1,23,8,49
Jammal Achurch,9,2,77,6,68
Shelby Ketcher,3,2,91,90,72
Carrie Wrankmore,4,1,60,98,23
Harwilll Ovell,2,1,1,48,25
Nance Catherine,5,1,18,36,93
Rab MacDirmid,5,3,56,70,82
Cele Yockley,7,3,9,80,99
Corena Whatling,12,2,90,53,31
Bethanne Kettlewell,7,2,94,60,82
Victoria Bow,10,1,66,89,20
Tabby Fransinelli,2,2,45,40,63
Hobart McKimmie,3,2,53,16,17
Cammy O'Feeny,9,1,41,34,23
Anna Scurry,6,3,14,37,29
Maryellen Pretious,5,3,77,38,91
Konstantin Coviello,7,1,81,44,3
Bayard Langthorne,1,1,13,11,100
Emmy Grimble,2,3,89,35,51
Richart Kiljan,7,3,100,65,28
Jania Penn,5,3,35,80,20
Lavina Battey,4,1,65,71,88
Cherey Borth,9,3,65,17,87
Elijah Mallabon,1,2,16,15,73
Nanci Dumphry,1,3,95,8,16
Vikki Cobbald,11,2,96,9,85
Cahra Smallpiece,11,1,82,27,29
Danit Reeks,1,1,93,33,73
Persis Tomenson,2,1,68,60,68
Addy Normanville,6,1,62,61,57
Stefan Hartgill,11,3,73,64,86
Monique Mancer,11,3,29,41,90
Joelynn Buchan,6,2,66,85,85
Constantine Danelut,11,1,85,55,12
Garth Curle,3,3,82,8,53
Brigham Aberkirdo,4,1,91,26,74
Nathalie Galbraeth,1,2,40,82,61
Cecilia Pridmore,10,3,98,19,40
Kerstin Drewry,8,2,93,9,15
Adelbert Raisher,11,1,15,95,62
Jobie Cockerill,8,3,45,100,54
Judy Moules,4,3,74,86,43
Sonia Mc-Kerley,8,3,28,97,98
Dom Daunay,7,2,49,24,95
Maisey Savery,5,1,8,69,92
Glory Nobes,7,3,64,40,27
Steward Bean,7,2,99,87,68
Cosette Arnett,2,3,2,53,7
Demott Pochin,10,2,79,48,43
Terry Simionescu,8,1,94,3,83
Leticia Gemnett,12,1,64,1,64
Berny Johnys,7,3,7,32,40
Perry Garroch,10,2,69,22,71
Carmela Aylott,12,1,49,57,28
Shel Pettus,9,2,17,28,53
Monique Witterick,4,3,65,49,44
Tracey Depport,3,1,4,28,16
Mimi Gurry,2,2,7,89,13
Charmine Songer,12,1,96,52,1
Benyamin Formilli,6,2,15,72,54
Melissa Warn,2,2,5,2,91
Roth Dealtry,1,1,100,79,13
Kingsly Eslie,1,3,10,61,67
Elvis Celli,10,3,4,52,53
Nowell Biesinger,7,3,65,54,96
Halsy Chalke,2,1,21,6,48
Jethro Wallington,4,3,99,96,86
Faina Bartosik,10,2,71,64,64
Henderson Karchowski,4,3,45,19,43
Denni Von Welden,10,2,19,7,80
Bonny Wharram,3,2,24,4,80
Phaedra Szach,10,2,66,80,92
Gloriane Goncalo,10,2,19,23,4
Anabella Espina,9,3,38,72,49
Vivi Humpherson,5,3,28,62,18
Ross Yanin,6,1,98,87,91
Florinda Wearn,9,3,85,9,78
Haley Guirard,12,1,82,21,87
Dael Cummings,9,3,64,30,66
Georgeta Pippin,5,3,48,35,55
Debby Jenny,9,1,92,14,23
Sergent McCombe,4,1,3,78,16
Rudolfo Dunkersley,3,1,84,51,7
Keene Heaphy,3,1,54,49,62
Avie Gurys,10,1,7,87,60
Sacha Van Driel,4,2,34,38,99
Bev Carbonell,12,3,77,52,8
Dudley Noyce,9,2,8,36,28
Carlyle Betancourt,5,2,6,13,6
Susanne Gration,10,3,39,74,93
Eugenie Pitrollo,1,1,75,92,43
Rolf Redborn,10,3,90,50,53
Clementina Petrollo,10,3,96,63,61
Jareb Grastye,11,2,88,78,9
Lisha Peppin,5,1,62,84,58
Emile Docksey,6,3,7,37,39
Elfrida Shakespeare,4,3,28,19,54
Carson Fleay,6,3,76,14,92
Renard Togwell,6,1,14,86,23
Shawn Northern,3,2,43,97,30
Iseabal Whatson,5,1,42,77,30
Wright Imore,3,3,13,78,4
Yehudi Happer,4,1,47,30,65
Fey Prowse,1,3,56,41,50
Vivia Kelf,1,2,15,71,15
Gwenny Pindell,6,3,70,93,67
Harriet Lambirth,7,1,83,100,25
Scottie Mettrick,1,3,2,40,89
Elie Sobieski,12,3,6,94,36
Adelbert Sandyfirth,2,3,9,47,78
Nate Dallas,4,3,35,34,89
Grange Lyston,5,2,21,16,93
Sig Chatters,12,3,46,90,79
Cornie Feedham,1,3,51,13,17
Odette Prudence,12,3,65,80,89
Margaretta Gudgeon,7,3,55,31,29
Tedda Ahern,12,1,21,90,64
Anabelle Readhead,9,2,41,43,81
Reinwald Eydel,3,3,98,92,5
Carmelia Carver,1,3,84,73,88
Marnia Spinley,4,1,87,71,73
Idalia Szymanski,6,2,66,75,67
Gabriel Tasseler,7,2,97,68,17
Beverie Gent,11,3,92,18,7
Gregor Vallery,2,2,88,30,86
Romola Sizeland,5,2,46,22,55
Madeline McTrustrie,6,3,60,79,76
Charmion Couling,12,2,83,63,58
Melania Tomala,8,1,39,62,85
Esta Nials,7,3,100,14,82
Florrie O'Nowlan,5,1,88,78,73
Robers McGrory,11,1,44,28,11
Ossie Iannazzi,8,3,98,58,9
Dalila Voas,12,2,68,68,59
Nananne Scurrey,6,2,80,9,71
Rona Renak,3,3,82,99,33
Horacio Witter,9,2,96,54,17
Grazia Pennino,1,2,50,8,52
Nonah Paulusch,6,3,76,41,49
Almira Tatem,5,3,54,85,21
Efrem Bilovsky,3,3,26,73,36
Locke Nutley,10,2,69,43,92
Papagena Dyke,2,1,89,11,71
Hermy De Bischop,5,2,6,1,82
Lorna Bacchus,1,3,9,15,39
Baxie Roust,5,2,74,72,84
Joey Havard,8,2,86,72,55
Pammie Fyall,3,3,37,29,65
Tedmund Elgey,10,3,86,85,12
Uriah Harriman,4,2,91,100,75
Jacintha Lindl,11,2,59,44,22
Jan Renard,1,2,16,49,46
Ase Logue,12,3,44,96,29
Mal Joye,3,1,15,10,25
Dulcea Rama,12,2,54,59,56
Vincents Todhunter,5,2,1,9,85
Elvis Claughton,3,3,25,58,23
Jami McMurty,2,3,40,19,19
Georgy Malcher,5,1,96,27,71
Truman Kearley,8,1,75,14,22
Ty Joselevitch,10,3,8,69,92
Darcey Pantry,1,2,11,99,54
Brendan McMakin,7,3,32,75,1
William Ebbens,8,2,3,79,19
Joscelin Reubel,10,2,81,33,7
Erhart Menat,11,2,10,13,66
Shanna Rangle,9,2,11,75,60
Sharl Follin,3,3,58,89,12
Elke Badrock,4,2,66,68,71
Adelle Dumbare,4,1,6,26,99
Annissa Dougher,7,1,100,64,17
Amaleta Hoyles,1,3,87,81,85
Patsy Gell,7,2,24,77,23
Logan Huyghe,7,1,52,44,90
Caldwell Seaman,6,3,85,43,25
Filippa Trumpeter,12,2,90,4,60
Belinda Coombes,3,1,91,75,74
Wilfred Doppler,4,1,26,14,85
Wandis Follit,6,1,67,77,10
Amberly Christoffe,11,2,79,90,76
Denver Foltin,11,2,92,99,12
Wood O' Lone,8,1,92,92,63
Farrell Stilling,4,3,70,21,23
Nick Sherratt,11,1,37,4,18
Stephanus Dabnot,7,3,38,25,67
Cristian Llop,1,2,14,78,41
Ginni Le Houx,9,1,70,89,33
Shandeigh Winscom,1,1,6,36,88
Morie Merryweather,7,3,61,82,9
Edmon McIlmorie,2,2,32,46,47
Sasha Melland,12,3,76,7,56
Rowena Verner,4,2,32,43,79
Lotte Wildman,7,1,40,94,27
Ellery Djordjevic,3,2,77,53,33
Vinny Hallows,10,3,21,50,28
Raynard Coggings,1,3,33,75,68
Stafani Palmer,3,1,10,62,26
Saloma MacCollom,7,1,67,37,57
Richmound Beartup,4,1,83,28,90
Fancie Bawles,3,2,80,87,89
Reiko Tilbury,12,1,51,6,60
Franklin Filyushkin,11,2,25,97,78
Levi Dunridge,3,3,82,94,62
Oliver Rogge,11,2,10,75,80
Delilah Stourton,3,1,34,13,79
Cchaddie Banton,8,1,32,66,38
Shell Marzelo,2,2,48,39,56
Shaun Leipelt,8,2,41,19,70
Salvador Curee,6,3,3,73,98
William Prestedge,12,3,6,43,74
Eli Pauer,8,1,58,34,37
Ronny Claasen,7,2,41,50,94
Alf Townes,7,1,90,49,21
Moises Bramstom,7,1,44,51,54
Anet Gregan,1,3,10,22,35
Van Bentinck,8,1,26,31,91
Gisele Alwin,9,1,39,37,74
Estrellita Attaway,6,2,15,73,73
Odella Avramchik,7,1,12,73,88
Huey Heistermann,10,2,81,47,90
Esme Martinets,4,1,57,59,70
Dyan Collecott,9,2,74,98,30
Olga Suggate,12,1,46,55,89
Dru Tongs,11,2,72,82,15
Anatol Eltun,10,3,89,63,22
Sabrina Adelberg,11,1,61,63,8
Thaddus Danev,8,1,84,98,99
Walliw Bramble,2,2,16,55,10
Donelle Flockhart,9,1,90,73,18
Brand Silman,4,2,52,32,46
Brooke Hopewell,10,3,32,33,62
Lauretta Tabourier,1,3,67,13,15
Marci Bradnocke,6,2,14,44,8
Bourke Cathery,8,1,67,62,6
Kathie Murrum,5,1,80,70,40
Sly Kwietek,1,2,8,21,32
Feodora Giametti,3,2,88,77,64
Concettina Dibdall,7,2,63,79,10
Chucho Kiely,11,2,41,41,99
Wilona Figiovanni,7,1,19,84,34
Doll Ince,10,3,54,64,79
Biddy Vinecombe,3,3,38,81,4
Blaine Collerd,10,1,14,94,34
Lonee Causey,10,2,2,54,59
Amerigo Butchers,11,3,52,51,39
Hillard Lenz,2,2,72,96,27
Tannie Chadbourne,2,3,32,25,1
Baxy MacDunleavy,2,3,10,70,70
Carlye Rahl,11,1,22,13,54
Inga Applebee,9,1,20,84,17
Aline Bosket,2,2,96,51,82
Ly Bagley,12,2,42,84,39
Lutero Kornyakov,5,3,99,15,100
Cleveland Abrahmovici,2,3,71,8,17
Barbe Millichap,4,3,82,47,92
Kristoforo Baccus,8,2,28,69,38
Teodor Gogerty,5,1,65,44,58
Micheline Flemming,3,2,31,33,37
Roana Curner,11,3,83,26,89
Duff Lewsie,9,1,100,6,55
Cosme Rignoldes,10,1,12,61,95
Gavra Watting,5,3,93,33,80
Hobie Lightbown,1,2,10,81,4
Minny Andras,4,2,66,15,78
Corie Arnet,1,2,87,95,67
Dayle Bembridge,4,1,92,48,97
Mahmud Brocking,5,3,5,6,26
Kora Mallan,12,1,89,44,2
Bryn Swanton,10,2,22,50,35
Burl Tomaszynski,7,1,52,88,21
Cathy Enderson,1,3,34,42,35
Chandler Clay,4,1,95,35,26
Emmey Hallagan,11,2,67,83,92
Birdie Dukelow,3,3,20,94,11
Munroe Agastina,12,1,23,60,21
Marilyn Noteyoung,11,3,79,43,29
Forster Briton,11,3,71,18,7
Kermy Sorensen,3,2,86,75,41
Gerhardt Toupe,9,3,6,42,93
Daphene Cavy,3,3,45,61,17
Dorothy Reiling,9,1,9,87,63
Sandor Over,12,3,55,14,91
Ynes Caskie,5,3,49,70,11
Alphard Henighan,11,3,84,30,32
Mannie Rodnight,5,3,2,66,45
Katya Suckling,7,2,7,11,11
Dominic Snaden,2,2,31,51,62
Shawna Joye,7,2,66,72,82
Daphne Macer,7,1,36,47,45
Helge Cosin,7,3,91,32,64
Marchelle Robiot,10,2,32,10,1
Abel Stubbington,9,3,64,65,22
Wayland Andrick,7,3,5,16,65
Kylie Berth,1,2,55,90,51
Imojean Goulston,5,1,29,90,27
Janelle Winger,9,1,79,6,36
Chantalle Leyshon,12,3,14,74,54
Celie MacDavitt,2,1,70,28,85
Carmina Wise,3,1,80,66,35
Tobi Hasty,6,2,3,28,47
Joly Ventom,1,2,17,46,68
Gearard Fynn,9,3,79,47,99
Thurstan Lattimer,2,3,92,6,26
Flinn Colnet,5,2,14,54,56
Barbe Osbidston,5,2,1,29,38
Roth Fetherston,4,1,28,75,52
Hart Du Fray,11,2,43,59,56
Paulette Mathiasen,4,1,18,91,29
Harmonia Purvess,10,1,36,39,30
Celia Barlas,12,3,80,56,9
Bo Kielt,10,3,65,52,73
Abraham Rowlatt,9,1,36,64,78
Rosemaria Capin,12,1,59,3,48
Natalya Birchwood,4,2,31,3,33
Antonius Tournay,2,3,93,20,41
Byran Gatchell,1,3,5,43,27
Pegeen Izakov,12,2,88,23,44
Edgardo Tackell,10,2,79,69,44
Casi Nashe,2,2,56,21,83
Carola Igoe,8,1,25,64,55
Blondie Ferroni,12,1,94,58,48
Farlie Radclyffe,1,3,25,1,61
Kinna Tildesley,4,1,38,59,44
Wildon Carlile,12,2,91,38,73
Norry Streader,6,2,55,28,28
Huberto Bussell,2,2,18,45,17
Jerald Ruthven,10,3,61,67,26
Dudley Main,10,3,90,22,35
Edwina Sollner,6,1,90,47,58
Duncan Strowther,10,2,60,13,28
Clementina Cready,5,1,12,37,46
Katerine Gann,4,1,79,61,41
Cherrita Hendrikse,2,2,87,32,10
Halimeda Epps,1,3,14,67,39
Bradan Kingzet,8,3,82,39,82
Celka Aseef,2,2,34,51,95
Zacherie Redman,6,3,44,42,12
Junie Jedrzejkiewicz,4,2,78,29,34
Nadiya Winder,7,3,100,4,51
Cynthia Cowderoy,10,2,2,65,89
Jessi Hazeldene,2,2,16,33,76
Gunter Symson,1,3,88,17,63
Ginny Olekhov,4,2,21,79,82
Gennie Tremellier,10,3,55,48,41
Janeva Cortez,8,2,61,65,37
Ronna Stannett,6,2,90,15,72
Robina Slocum,1,3,80,36,80
Dulci Stoves,8,3,18,32,7
Ettore Bortolotti,7,1,74,90,53
Basil Maven,8,1,86,9,83
Shane McGawn,2,1,43,88,98
Selena Albrook,7,3,62,33,83
Inness Loch,2,3,54,34,91
Adan Kuban,5,3,93,20,13
Pepito Waye,1,1,5,51,51
Trever Shearsby,12,3,79,93,54
Ronnie Hobble,1,1,9,87,64
Aguistin Corder,4,3,78,44,3
Deni Freeberne,12,3,65,21,61
Alma Grigorio,2,3,7,54,52
Mame Crosi,10,3,43,77,43
Saloma Auchterlonie,12,1,65,12,90
Paloma Thorn,10,3,32,54,30
Gratia Wivell,3,3,27,52,57
Golda Pendre,7,2,17,4,8
De witt Gorini,5,1,34,42,62
Erminie Baunton,4,2,10,33,11
Mair Elder,11,1,59,13,43
